,X.1,X,originalid,originaltraitname,originaltraitdef,standardisedtraitname,standardisedtraitdef,originaltraitvalue,originaltraitunit,originalerrorpos,originalerrorneg,originalerrorunit,standardisedtraitvalue,standardisedtraitunit,standardisederrorpos,standardisederrorneg,standardisederrorunit,replicates,habitat,labfield,arenavalue,arenaunit,arenavaluesi,arenaunitsi,ambienttemp,ambienttempmethod,ambienttempunit,ambientlight,ambientlightunit,secondstressor,secondstressordef,secondstressorvalue,secondstressorunit,timestart,timeend,totalobstimevalue,totalobstimeunit,totalobstimevaluesi,totalobstimeunitsi,totalobstimenotes,resrepvalue,resrepunit,resrepvaluesi,resrepunitsi,location,locationtype,originallocationdate,locationdate,locationdateprecision,coordinatetype,latitude,longitude,interactor1,interactor1common,interactor1wholepart,interactor1wholeparttype,interactor1number,interactor1kingdom,interactor1phylum,interactor1class,interactor1order,interactor1family,interactor1genus,interactor1species,interactor1stage,interactor1temp,interactor1tempunit,interactor1tempmethod,interactor1growthtemp,interactor1growthtempunit,interactor1growthdur,interactor1growthdurunit,interactor1growthtype,interactor1acc,interactor1acctemp,interactor1acctempnotes,interactor1acctime,interactor1acctimenotes,interactor1acctimeunit,interactor1origtemp,interactor1origtempnotes,interactor1origtime,interactor1origtimenotes,interactor1origtimeunit,interactor1equilibtimevalue,interactor1equilibtimeunit,interactor1size,interactor1sizeunit,interactor1sizetype,interactor1sizesi,interactor1sizeunitsi,interactor1denvalue,interactor1denunit,interactor1dentypesi,interactor1denvaluesi,interactor1denunitsi,interactor1massvaluesi,interactor1massunitsi,interactor2,interactor2common,interactor2kingdom,interactor2phylum,interactor2class,interactor2order,interactor2family,interactor2genus,interactor2species,interactor2stage,interactor2temp,interactor2tempunit,interactor2tempmethod,interactor2growthtemp,interactor2growthtempunit,interactor2growthdur,interactor2growthdurunit,interactor2growthtype,interactor2acc,interactor2acctemp,interactor2acctempnotes,interactor2acctime,interactor2acctimenotes,interactor2acctimeunit,interactor2origtemp,interactor2origtempnotes,interactor2origtime,interactor2origtimenotes,interactor2origtimeunit,interactor2equilibtimevalue,interactor2equilibtimeunit,interactor2size,interactor2sizeunit,interactor2sizetype,interactor2sizesi,interactor2sizeunitsi,interactor2denvalue,interactor2denunit,interactor2dentypesi,interactor2denvaluesi,interactor2denunitsi,interactor2massvaluesi,interactor2massunitsi,physicalprocess,physicalprocess_1,physicalprocess_2,figuretable,citation,doi,submittedby,contributoremail,notes,Variable
1558,14944,771,csm5I,Oviposition Rate,,NA,NA,17.5,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,5.5,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0115,Cera Mai,csm417@ic.ac.uk,,bpk
1559,14945,772,csm5I,Oviposition Rate,,NA,NA,18,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,4,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0116,Cera Mai,csm417@ic.ac.uk,,bpk
1560,14946,773,csm5I,Oviposition Rate,,NA,NA,3.68,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,2.9,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0117,Cera Mai,csm417@ic.ac.uk,,bpk
1561,14947,774,csm5I,Oviposition Rate,,NA,NA,5.19,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,2.9,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0118,Cera Mai,csm417@ic.ac.uk,,bpk
1562,14948,775,csm5I,Oviposition Rate,,NA,NA,3.77,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,3.9,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0119,Cera Mai,csm417@ic.ac.uk,,bpk
1563,14949,776,csm5I,Oviposition Rate,,NA,NA,6.17,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,3.9,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0120,Cera Mai,csm417@ic.ac.uk,,bpk
1564,14950,777,csm5I,Oviposition Rate,,NA,NA,10.45,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,4.7,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0121,Cera Mai,csm417@ic.ac.uk,,bpk
1565,14951,778,csm5I,Oviposition Rate,,NA,NA,10.45,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,4.8,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0122,Cera Mai,csm417@ic.ac.uk,,bpk
1566,14952,779,csm5I,Oviposition Rate,,NA,NA,7.25,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,3,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0123,Cera Mai,csm417@ic.ac.uk,,bpk
1567,14953,780,csm5I,Oviposition Rate,,NA,NA,3.19,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,4.7,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0124,Cera Mai,csm417@ic.ac.uk,,bpk
1568,14954,781,csm5I,Oviposition Rate,,NA,NA,12.88,eggs per female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,celcius,NA,NA,Time,Average days it take per gonotrophic cycle,3.3,Days,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La Réunion Island, France ",NA,NA,NA,0,NA,NA,NA,Aedes albopictus,,,,,,Arthropoda,Insecta,Diptera,Culcidae,Aedes,albopictus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.1603/033.046.0125,Cera Mai,csm417@ic.ac.uk,,bpk
