originalid,originaltraitname,originaltraitdef,standardisedtraitname,standardisedtraitdef,originaltraitvalue,originaltraitunit,originalerrorpos,originalerrorneg,originalerrorunit,standardisedtraitvalue,standardisedtraitunit,standardisederrorpos,standardisederrorneg,standardisederrorunit,replicates,habitat,labfield,arenavalue,arenaunit,arenavaluesi,arenaunitsi,ambienttemp,ambienttempmethod,ambienttempunit,ambientlight,ambientlightunit,secondstressor,secondstressordef,secondstressorvalue,secondstressorunit,timestart,timeend,totalobstimevalue,totalobstimeunit,totalobstimevaluesi,totalobstimeunitsi,totalobstimenotes,resrepvalue,resrepunit,resrepvaluesi,resrepunitsi,location,locationtype,originallocationdate,locationdate,locationdateprecision,coordinatetype,latitude,longitude,interactor1,interactor1common,interactor1wholepart,interactor1wholeparttype,interactor1number,interactor1kingdom,interactor1phylum,interactor1class,interactor1order,interactor1family,interactor1genus,interactor1species,interactor1stage,interactor1temp,interactor1tempunit,interactor1tempmethod,interactor1growthtemp,interactor1growthtempunit,interactor1growthdur,interactor1growthdurunit,interactor1growthtype,interactor1acc,interactor1acctemp,interactor1acctempnotes,interactor1acctime,interactor1acctimenotes,interactor1acctimeunit,interactor1origtemp,interactor1origtempnotes,interactor1origtime,interactor1origtimenotes,interactor1origtimeunit,interactor1equilibtimevalue,interactor1equilibtimeunit,interactor1size,interactor1sizeunit,interactor1sizetype,interactor1sizesi,interactor1sizeunitsi,interactor1denvalue,interactor1denunit,interactor1dentypesi,interactor1denvaluesi,interactor1denunitsi,interactor1massvaluesi,interactor1massunitsi,interactor2,interactor2common,interactor2kingdom,interactor2phylum,interactor2class,interactor2order,interactor2family,interactor2genus,interactor2species,interactor2stage,interactor2temp,interactor2tempunit,interactor2tempmethod,interactor2growthtemp,interactor2growthtempunit,interactor2growthdur,interactor2growthdurunit,interactor2growthtype,interactor2acc,interactor2acctemp,interactor2acctempnotes,interactor2acctime,interactor2acctimenotes,interactor2acctimeunit,interactor2origtemp,interactor2origtempnotes,interactor2origtime,interactor2origtimenotes,interactor2origtimeunit,interactor2equilibtimevalue,interactor2equilibtimeunit,interactor2size,interactor2sizeunit,interactor2sizetype,interactor2sizesi,interactor2sizeunitsi,interactor2denvalue,interactor2denunit,interactor2dentypesi,interactor2denvaluesi,interactor2denunitsi,interactor2massvaluesi,interactor2massunitsi,physicalprocess,physicalprocess_1,physicalprocess_2,citation,doi,published,embargorelease,figuretable,notes,submittedby,contributoremail
csm1A,Oviposition Rate,,,,11.224,per day per female,,,,,,,,,,,,,,,,32.55,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,7.2745,per day per female,,,,,,,,,,,,,,,,33.41,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.16173,1/days,0.01287,0.01287,1/days,,,,,,,,,,,,,10,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.09729,1/days,0.01738,0.01738,1/days,,,,,,,,,,,,,10,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.0817,1/days,0.00658,0.00658,1/days,,,,,,,,,,,,,10,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.22253,1/days,0.0062,0.0062,1/days,,,,,,,,,,,,,10,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.46886,1/days,0.2447,0.2447,1/days,,,,,,,,,,,,,10.38,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.17455,1/days,0.00479,0.00479,1/days,,,,,,,,,,,,,10.45,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.20706,1/days,0.01516,0.01516,1/days,,,,,,,,,,,,,10.45,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.02087,1/days,0.00127,0.00127,1/days,,,,,,,,,,,,,14.74,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.02344,1/days,0.00115,0.00115,1/days,,,,,,,,,,,,,14.84,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.01809,1/days,0.00116,0.00116,1/days,,,,,,,,,,,,,14.92,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.03672,1/days,0.01493,0.01493,1/days,,,,,,,,,,,,,18.86,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.02063,1/days,0.0142,0.0142,1/days,,,,,,,,,,,,,19.04,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.0331,1/days,0.00443,0.00443,1/days,,,,,,,,,,,,,19.18,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.06779,1/days,0.01386,0.01386,1/days,,,,,,,,,,,,,26.56,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.06311,1/days,0.15267,0.15267,1/days,,,,,,,,,,,,,26.84,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.06388,1/days,0.04852,0.04852,1/days,,,,,,,,,,,,,26.85,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.10498,1/days,0.01405,0.01405,1/days,,,,,,,,,,,,,30.83,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.05936,1/days,0.57314,0.57314,1/days,,,,,,,,,,,,,31.61,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
csm1B,Mortality Rate,,,,0.11567,1/days,0.02338,0.02338,1/days,,,,,,,,,,,,,34.95,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,21/1/2004,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,Aquatic Phase,Cera Mai,csm417@ic.ac.uk
